State,County,City,Neighborhood,Nextdoor ID,Attribute,Position
CA,Santa Clara,Gilroy,1st St.,389933,Bay,0
CA,Santa Clara,Gilroy,1st St.,389933,Community,1
CA,Santa Clara,Gilroy,1st St.,389933,Diversity,2
CA,Santa Clara,Gilroy,1st St.,389933,Dog Friendly,3
CA,Santa Clara,Gilroy,1st St.,389933,Family Friendly,4
CA,Santa Clara,Gilroy,1st St.,389933,Restaurants,5
CA,Santa Clara,Gilroy,1st St.,389933,Running,6
CA,Santa Clara,Gilroy,1st St.,389933,Stores,7
CA,Santa Clara,Gilroy,1st St.,389933,Welcoming,8
CA,Santa Clara,Gilroy,1st St.,389933,Well Maintained,9
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Clean,0
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Freeway Access,1
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Peaceful,2
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Well Maintained,3
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Convenient,4
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Family Friendly,5
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Nice,6
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Schools,7
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Sidewalks,8
CA,Santa Clara,Sunnyvale,37 Degrees North,235506,Walking,9
CA,Santa Clara,Gilroy,3rd Street,350380,Peaceful,0
CA,Santa Clara,Gilroy,3rd Street,350380,Safe,1
CA,Santa Clara,Gilroy,3rd Street,350380,Quiet,2
CA,Santa Clara,Gilroy,3rd Street,350380,Clean,3
CA,Santa Clara,Gilroy,3rd Street,350380,Family Friendly,4
CA,Santa Clara,Gilroy,3rd Street,350380,Nature,5
CA,Santa Clara,Gilroy,3rd Street,350380,Walking,6
CA,Santa Clara,Gilroy,3rd Street,350380,Dog Friendly,7
CA,Santa Clara,Gilroy,3rd Street,350380,Gated,8
CA,Santa Clara,Gilroy,3rd Street,350380,Neighbors,9
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Well Maintained,0
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Clean,1
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Safe,2
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Walkability,3
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Family Friendly,4
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Quiet,5
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Convenient,6
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Peaceful,7
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Parks,8
CA,Santa Clara,Santa Clara,49ers-Backdoor-Community,197902,Friendly,9
CA,Santa Clara,Saratoga,4th Street,198597,Events,0
CA,Santa Clara,Saratoga,4th Street,198597,Food,1
CA,Santa Clara,Saratoga,4th Street,198597,Parks,2
CA,Santa Clara,Saratoga,4th Street,198597,Restaurants,3
CA,Santa Clara,Saratoga,4th Street,198597,Schools,4
CA,Santa Clara,Saratoga,4th Street,198597,Trees,5
CA,Santa Clara,Saratoga,4th Street,198597,Walking,6
CA,Santa Clara,Saratoga,4th Street,198597,Welcoming,7
CA,Santa Clara,Cupertino,5618 Stevens Creek Blvd,304206,Peaceful,0
CA,Santa Clara,Cupertino,5618 Stevens Creek Blvd,304206,Convenient,1
CA,Santa Clara,Cupertino,5618 Stevens Creek Blvd,304206,Family Friendly,2
CA,Santa Clara,Cupertino,5618 Stevens Creek Blvd,304206,Proximity,3
CA,Santa Clara,Cupertino,5618 Stevens Creek Blvd,304206,Urban,4
CA,Santa Clara,Cupertino,5618 Stevens Creek Blvd,304206,Walkability,5
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Neighbors,0
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Beautiful,1
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Diversity,2
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Peaceful,3
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Safe,4
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Walkability,5
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Weather,6
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Atmosphere,7
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Clean,8
CA,Santa Clara,Palo Alto,Adobe Meadow,125552,Community,9
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Peaceful,0
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Family Friendly,1
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Friendly,2
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Safe,3
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Quiet,4
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Clean,5
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Freeway Access,6
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Community,7
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Kids,8
CA,Santa Clara,Sunnyvale,Adobe Wells MHP,219801,Neighbors,9
CA,Santa Clara,San Jose,Albanese Circle,374270,Family Friendly,0
CA,Santa Clara,San Jose,Albanese Circle,374270,Diversity,1
CA,Santa Clara,San Jose,Albanese Circle,374270,Neighbors,2
CA,Santa Clara,San Jose,Albanese Circle,374270,Peaceful,3
CA,Santa Clara,San Jose,Albanese Circle,374270,Safe,4
CA,Santa Clara,San Jose,Albanese Circle,374270,Atmosphere,5
CA,Santa Clara,San Jose,Albanese Circle,374270,Bay,6
CA,Santa Clara,San Jose,Albanese Circle,374270,Clean,7
CA,Santa Clara,San Jose,Albanese Circle,374270,Community,8
CA,Santa Clara,San Jose,Albanese Circle,374270,Convenient,9
CA,Santa Clara,San Jose,Alma - Almaden,169923,Convenient,0
CA,Santa Clara,San Jose,Alma - Almaden,169923,Dog Friendly,1
CA,Santa Clara,San Jose,Alma - Almaden,169923,Proximity,2
CA,Santa Clara,San Jose,Alma - Almaden,169923,Friendly,3
CA,Santa Clara,San Jose,Alma - Almaden,169923,Trees,4
CA,Santa Clara,San Jose,Alma - Almaden,169923,Beautiful,5
CA,Santa Clara,San Jose,Alma - Almaden,169923,Clean,6
CA,Santa Clara,San Jose,Alma - Almaden,169923,Community,7
CA,Santa Clara,San Jose,Alma - Almaden,169923,Diversity,8
CA,Santa Clara,San Jose,Alma - Almaden,169923,Downtown,9
CA,Santa Clara,San Jose,Almaden,154788,Family Friendly,0
CA,Santa Clara,San Jose,Almaden,154788,Friendly,1
CA,Santa Clara,San Jose,Almaden,154788,Neighbors,2
CA,Santa Clara,San Jose,Almaden,154788,Beautiful,3
CA,Santa Clara,San Jose,Almaden,154788,Community,4
CA,Santa Clara,San Jose,Almaden,154788,Clean,5
CA,Santa Clara,San Jose,Almaden,154788,Safe,6
CA,Santa Clara,San Jose,Almaden,154788,Walking,7
CA,Santa Clara,San Jose,Almaden,154788,Dog Friendly,8
CA,Santa Clara,San Jose,Almaden,154788,Quiet,9
CA,Santa Clara,San Jose,Almaden - Williams,164785,Family Friendly,0
CA,Santa Clara,San Jose,Almaden - Williams,164785,Beautiful,1
CA,Santa Clara,San Jose,Almaden - Williams,164785,Atmosphere,2
CA,Santa Clara,San Jose,Almaden - Williams,164785,Dog Friendly,3
CA,Santa Clara,San Jose,Almaden - Williams,164785,Hills,4
CA,Santa Clara,San Jose,Almaden - Williams,164785,Neighbors,5
CA,Santa Clara,San Jose,Almaden - Williams,164785,Parks,6
CA,Santa Clara,San Jose,Almaden - Williams,164785,Safe,7
CA,Santa Clara,San Jose,Almaden - Williams,164785,Food,8
CA,Santa Clara,San Jose,Almaden - Williams,164785,Friendly,9
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Clean,0
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Freeway Access,1
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Quiet,2
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Trails,3
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Creek,4
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Dog Friendly,5
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Parks,6
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Running,7
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Schools,8
CA,Santa Clara,San Jose,Almaden Hills Estates,164638,Walkability,9
CA,Santa Clara,San Jose,Almaden Meadows,164624,Family Friendly,0
CA,Santa Clara,San Jose,Almaden Meadows,164624,Peaceful,1
CA,Santa Clara,San Jose,Almaden Meadows,164624,Friendly,2
CA,Santa Clara,San Jose,Almaden Meadows,164624,Clean,3
CA,Santa Clara,San Jose,Almaden Meadows,164624,Neighbors,4
CA,Santa Clara,San Jose,Almaden Meadows,164624,Well Maintained,5
CA,Santa Clara,San Jose,Almaden Meadows,164624,Community,6
CA,Santa Clara,San Jose,Almaden Meadows,164624,Beautiful,7
CA,Santa Clara,San Jose,Almaden Meadows,164624,Quiet,8
CA,Santa Clara,San Jose,Almaden Meadows,164624,Dog Friendly,9
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Peaceful,0
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Quiet,1
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Family Friendly,2
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Friendly,3
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Beautiful,4
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Clean,5
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Neighbors,6
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Well Maintained,7
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Community,8
CA,Santa Clara,San Jose,Almaden Mockingbird,164783,Safe,9
CA,Santa Clara,San Jose,Almaden Villas,170213,Beautiful,0
CA,Santa Clara,San Jose,Almaden Villas,170213,Peaceful,1
CA,Santa Clara,San Jose,Almaden Villas,170213,Quiet,2
